t 130 10 2
n 0.84 0.3 335 162 
n 0.16 0.21 398 263 
n 0.5 0.52 504 173 
n 0.1 0.46 444 385 
n 0.85 0.74 312 2 
n 0.7 0.74 663 549 
n 0.53 0.71 40 187 
n 0.76 0.64 527 216 
n 0.4 0.58 209 691 
n 0.61 0.53 683 414 
n 0.43 0.61 281 6 
n 0.65 0.7 253 536 
n 0.88 0.72 699 348 
n 0.63 0.61 679 411 
n 0.41 0.5 220 409 
n 0.32 0.26 355 76 
n 0.14 0.39 297 313 
n 0.12 0.73 505 241 
n 0.78 0.35 224 358 
n 0.89 0.18 471 310 
n 0.62 0.39 554 279 
n 0.14 0.28 568 353 
n 0.65 0.75 599 361 
n 0.34 0.72 241 431 
n 0.4 0.56 32 346 
n 0.64 0.82 91 149 
n 0.56 0.18 248 344 
n 0.44 0.59 489 4 
n 0.27 0.13 206 438 
n 0.37 0.28 576 142 
n 0.33 0.38 283 329 
n 0.86 0.36 28 425 
n 0.67 0.23 569 287 
n 0.17 0.18 269 296 
n 0.15 0.31 418 341 
n 0.59 0.42 32 449 
n 0.71 0.85 561 357 
n 0.22 0.55 343 492 
n 0.5 0.21 400 157 
n 0.52 0.53 572 376 
n 0.39 0.55 371 152 
n 0.12 0.11 510 436 
n 0.83 0.26 177 296 
n 0.85 0.43 526 409 
n 0.26 0.87 317 66 
n 0.64 0.18 469 282 
n 0.71 0.14 573 373 
n 0.51 0.17 30 330 
n 0.54 0.35 454 537 
n 0.63 0.47 416 228 
n 0.82 0.2 535 471 
n 0.36 0.13 265 685 
n 0.84 0.18 478 510 
n 0.24 0.43 370 333 
n 0.88 0.82 598 447 
n 0.31 0.22 201 649 
n 0.7 0.43 194 680 
n 0.49 0.38 449 533 
n 0.88 0.47 603 134 
n 0.4 0.69 543 482 
n 0.55 0.55 215 44 
n 0.32 0.6 426 62 
n 0.59 0.63 89 277 
n 0.14 0.53 84 32 
n 0.73 0.42 220 623 
n 0.54 0.39 688 0 
n 0.75 0.31 687 374 
n 0.83 0.64 75 313 
n 0.74 0.19 63 24 
n 0.76 0.39 98 211 
n 0.41 0.57 400 171 
n 0.39 0.4 456 597 
n 0.27 0.72 320 627 
n 0.39 0.19 296 665 
n 0.25 0.45 288 668 
n 0.13 0.7 268 53 
n 0.89 0.68 140 514 
n 0.44 0.28 690 168 
n 0.46 0.73 281 459 
n 0.67 0.51 453 283 
n 0.51 0.8 214 526 
n 0.65 0.74 134 677 
n 0.31 0.7 521 133 
n 0.28 0.65 30 450 
n 0.51 0.84 657 40 
n 0.48 0.88 7 24 
n 0.22 0.63 252 535 
n 0.49 0.87 43 64 
n 0.72 0.65 146 400 
n 0.25 0.87 638 63 
n 0.17 0.18 489 665 
n 0.41 0.28 361 564 
n 0.79 0.55 520 348 
n 0.79 0.69 129 436 
n 0.39 0.14 260 455 
n 0.86 0.49 676 371 
n 0.52 0.52 85 183 
n 0.63 0.49 78 354 
n 0.79 0.37 336 661 
n 0.86 0.77 264 378 
n 0.44 0.44 52 676 
n 0.5 0.88 692 544 
n 0.68 0.84 169 548 
n 0.15 0.45 194 263 
n 0.66 0.13 415 79 
n 0.49 0.28 415 479 
n 0.65 0.9 170 246 
n 0.51 0.55 525 214 
n 0.51 0.32 239 33 
n 0.51 0.89 116 364 
n 0.26 0.65 17 657 
n 0.81 0.85 434 93 
n 0.59 0.28 41 425 
n 0.45 0.66 530 184 
n 0.3 0.34 484 49 
n 0.6 0.85 264 427 
n 0.45 0.3 450 126 
n 0.14 0.63 442 300 
n 0.36 0.13 24 500 
n 0.64 0.41 504 515 
n 0.78 0.58 636 201 
n 0.61 0.76 615 419 
n 0.44 0.21 22 661 
n 0.66 0.34 144 93 
n 0.49 0.77 638 54 
n 0.65 0.15 567 200 
n 0.8 0.6 197 222 
n 0.1 0.28 385 87 
n 0.11 0.52 178 105 
n 0.46 0.56 403 206 
