t 226 10 2
n 0.84 0.3 15625 1150 
n 0.16 0.21 14625 1200 
n 0.5 0.52 14525 1200 
n 0.1 0.46 14425 1200 
n 0.85 0.74 14125 1200 
n 0.7 0.74 14025 1200 
n 0.53 0.71 13925 1200 
n 0.76 0.64 13975 1500 
n 0.4 0.58 13625 1200 
n 0.61 0.53 13475 1200 
n 0.43 0.61 13475 1600 
n 0.65 0.7 13475 1750 
n 0.88 0.72 13475 1900 
n 0.63 0.61 13325 1200 
n 0.41 0.5 13175 1200 
n 0.32 0.26 13100 1725 
n 0.14 0.39 12675 1725 
n 0.12 0.73 12025 1300 
n 0.78 0.35 11425 1600 
n 0.89 0.18 9725 1450 
n 0.62 0.39 7975 1150 
n 0.14 0.28 6975 1200 
n 0.65 0.75 6875 1200 
n 0.34 0.72 6775 1200 
n 0.4 0.56 6475 1200 
n 0.64 0.82 6375 1200 
n 0.56 0.18 6275 1200 
n 0.44 0.59 6325 1500 
n 0.27 0.13 5975 1200 
n 0.37 0.28 5825 1200 
n 0.33 0.38 5825 1600 
n 0.86 0.36 5825 1750 
n 0.67 0.23 5825 1900 
n 0.17 0.18 5675 1200 
n 0.15 0.31 5525 1200 
n 0.59 0.42 5450 1725 
n 0.71 0.85 5025 1725 
n 0.22 0.55 4375 1300 
n 0.5 0.21 3775 1600 
n 0.52 0.53 2075 1450 
n 0.39 0.55 2075 3850 
n 0.12 0.11 3775 2300 
n 0.83 0.26 4375 3300 
n 0.85 0.43 5025 2150 
n 0.26 0.87 5450 2150 
n 0.64 0.18 5475 2500 
n 0.71 0.14 5475 3000 
n 0.51 0.17 5825 2050 
n 0.54 0.35 6325 2200 
n 0.63 0.47 7975 2150 
n 0.82 0.2 8725 2550 
n 0.36 0.13 8725 2650 
n 0.84 0.18 8725 2750 
n 0.24 0.43 8725 2850 
n 0.88 0.82 8725 2950 
n 0.31 0.22 8725 3050 
n 0.7 0.43 8725 3200 
n 0.49 0.38 8725 3300 
n 0.88 0.47 8725 3400 
n 0.4 0.69 8725 3500 
n 0.55 0.55 8725 3600 
n 0.32 0.6 8725 3700 
n 0.59 0.63 8725 3800 
n 0.14 0.53 9725 3850 
n 0.73 0.42 11425 2300 
n 0.54 0.39 12025 3300 
n 0.75 0.31 12675 2150 
n 0.83 0.64 13100 2150 
n 0.74 0.19 13125 2500 
n 0.76 0.39 13125 3000 
n 0.41 0.57 13475 2050 
n 0.39 0.4 13975 2200 
n 0.27 0.72 15625 2150 
n 0.39 0.19 16375 2550 
n 0.25 0.45 16375 2650 
n 0.13 0.7 16375 2750 
n 0.89 0.68 16375 2850 
n 0.44 0.28 16375 2950 
n 0.46 0.73 16375 3050 
n 0.67 0.51 16375 3200 
n 0.51 0.8 16375 3300 
n 0.65 0.74 16375 3400 
n 0.31 0.7 16375 3500 
n 0.28 0.65 16375 3600 
n 0.51 0.84 16375 3700 
n 0.48 0.88 16375 3800 
n 0.22 0.63 4875 6500 
n 0.49 0.87 4875 6700 
n 0.72 0.65 4875 6600 
n 0.25 0.87 4875 6800 
n 0.17 0.18 4875 6900 
n 0.41 0.28 4875 7000 
n 0.79 0.55 4875 7100 
n 0.79 0.69 4875 7200 
n 0.39 0.14 4975 6500 
n 0.86 0.49 4975 6600 
n 0.52 0.52 4975 6700 
n 0.63 0.49 4975 6800 
n 0.79 0.37 4975 6900 
n 0.86 0.77 4975 7000 
n 0.44 0.44 4975 7100 
n 0.5 0.88 4975 7200 
n 0.68 0.84 12525 6500 
n 0.15 0.45 12525 6700 
n 0.66 0.13 12525 6600 
n 0.49 0.28 12525 6800 
n 0.65 0.9 12525 6900 
n 0.51 0.55 12525 7000 
n 0.51 0.32 12525 7100 
n 0.51 0.89 12525 7200 
n 0.26 0.65 12625 6500 
n 0.81 0.85 12625 6600 
n 0.59 0.28 12625 6700 
n 0.45 0.66 12625 6800 
n 0.3 0.34 12625 6900 
n 0.6 0.85 12625 7000 
n 0.45 0.3 12625 7100 
n 0.14 0.63 12625 7200 
n 0.36 0.13 12625 8450 
n 0.64 0.41 12625 8550 
n 0.78 0.58 12625 8650 
n 0.61 0.76 12625 8750 
n 0.44 0.21 12625 8850 
n 0.66 0.34 12625 8950 
n 0.49 0.77 12625 9050 
n 0.65 0.15 12525 8450 
n 0.8 0.6 12525 8650 
n 0.1 0.28 12525 8550 
n 0.11 0.52 12525 8750 
n 0.46 0.56 12525 8950 
n 0.44 0.62 12525 8850 
n 0.43 0.22 12525 9050 
n 0.84 0.82 10075 8800 
n 0.25 0.48 9975 8800 
n 0.79 0.46 9875 8800 
n 0.77 0.83 9775 8800 
n 0.75 0.16 4975 8450 
n 0.67 0.58 4975 8550 
n 0.88 0.41 4975 8650 
n 0.57 0.17 4975 8750 
n 0.74 0.17 4975 8850 
n 0.6 0.31 4975 8950 
n 0.51 0.14 4975 9050 
n 0.27 0.52 4875 8450 
n 0.37 0.73 4875 8650 
n 0.17 0.57 4875 8550 
n 0.8 0.82 4875 8750 
n 0.84 0.15 4875 8950 
n 0.39 0.18 4875 8850 
n 0.54 0.36 4875 9050 
n 0.46 0.6 2425 8800 
n 0.2 0.62 2325 8800 
n 0.25 0.38 2225 8800 
n 0.68 0.17 2125 8800 
n 0.24 0.34 1875 11850 
n 0.84 0.39 1975 11850 
n 0.39 0.89 2075 11850 
n 0.44 0.31 2425 11850 
n 0.12 0.78 2525 11850 
n 0.76 0.26 2625 11850 
n 0.74 0.65 2725 11850 
n 0.25 0.18 2825 11850 
n 0.66 0.74 2925 11850 
n 0.51 0.7 3025 11850 
n 0.53 0.39 3125 11850 
n 0.27 0.55 3375 11850 
n 0.59 0.61 3475 11850 
n 0.25 0.7 3575 11850 
n 0.41 0.71 3675 11850 
n 0.78 0.6 3775 11850 
n 0.12 0.87 4075 11850 
n 0.26 0.69 4175 11850 
n 0.38 0.48 4275 11850 
n 0.75 0.28 4375 11850 
n 0.36 0.48 4475 11850 
n 0.41 0.35 4575 11850 
n 0.81 0.49 4675 11850 
n 0.22 0.78 4775 11850 
n 0.74 0.62 4875 11850 
n 0.18 0.87 4975 11850 
n 0.55 0.73 5375 11850 
n 0.54 0.42 5475 11850 
n 0.66 0.75 5575 11850 
n 0.72 0.32 5675 11850 
n 0.47 0.35 5775 11850 
n 0.54 0.9 5875 11850 
n 0.17 0.55 5975 11850 
n 0.1 0.3 6075 11850 
n 0.6 0.56 6175 11850 
n 0.39 0.36 6275 11850 
n 0.5 0.74 9525 11850 
n 0.8 0.15 9625 11850 
n 0.73 0.83 9725 11850 
n 0.53 0.54 10075 11850 
n 0.2 0.78 10175 11850 
n 0.84 0.58 10275 11850 
n 0.41 0.56 10375 11850 
n 0.5 0.41 10475 11850 
n 0.88 0.56 10575 11850 
n 0.21 0.5 10675 11850 
n 0.48 0.39 10775 11850 
n 0.69 0.67 11025 11850 
n 0.2 0.84 11125 11850 
n 0.63 0.86 11225 11850 
n 0.69 0.8 11325 11850 
n 0.64 0.8 11425 11850 
n 0.77 0.21 11725 11850 
n 0.87 0.72 11825 11850 
n 0.12 0.64 11925 11850 
n 0.82 0.18 12025 11850 
n 0.58 0.57 12125 11850 
n 0.11 0.33 12225 11850 
n 0.59 0.23 12325 11850 
n 0.8 0.21 12425 11850 
n 0.69 0.82 12525 11850 
n 0.31 0.79 12625 11850 
n 0.75 0.5 13025 11850 
n 0.4 0.19 13125 11850 
n 0.88 0.26 13225 11850 
n 0.41 0.53 13325 11850 
n 0.15 0.53 13425 11850 
n 0.27 0.48 13525 11850 
n 0.63 0.38 13625 11850 
n 0.63 0.19 13725 11850 
n 0.68 0.57 13825 11850 
n 0.41 0.36 13925 11850 
